DistInstID,DistNm,SchlInstID,SchlNm,CntyNm
2144,St Paul SD 45,779,St Paul High School,Marion
2117,Willamette ESD,3369,Chehalem Youth & Family Services,Marion
2117,Willamette ESD,3029,Metsker Heights at Rainbow Family Services,Marion
2117,Willamette ESD,2334,Oregon State Hospital Salem (educational program),Marion
2117,Willamette ESD,1283,Poyama Day Treatment,Marion
2146,Woodburn SD 103,4540,Academy of International Studies (at Woodburn),Marion
2146,Woodburn SD 103,1268,French Prairie Middle School,Marion
2146,Woodburn SD 103,1359,Heritage Elementary,Marion
2146,Woodburn SD 103,1267,Lincoln Elementary School,Marion
2146,Woodburn SD 103,796,Nellie Muir Elementary School,Marion
2146,Woodburn SD 103,1360,Valor Middle School,Marion
2146,Woodburn SD 103,797,Washington Elementary School,Marion
2146,Woodburn SD 103,4541,"Wellness, Business and Sports School",Marion
2146,Woodburn SD 103,4542,"Woodburn Academy of Art, Science and Technology",Marion
2146,Woodburn SD 103,4230,Woodburn Arthur Academy,Marion
2146,Woodburn SD 103,4543,Woodburn Arts and Communications Academy,Marion
2146,Woodburn SD 103,4544,Woodburn Success,Marion
3997,Ione SD R2,3363,Ione Community Charter School,Morrow
2147,Morrow SD 1,813,A C Houghton Elementary School,Morrow
2147,Morrow SD 1,815,Heppner Elementary School,Morrow
2147,Morrow SD 1,818,Heppner Junior/Senior High School,Morrow
2147,Morrow SD 1,4048,Irrigon Elementary School,Morrow
2147,Morrow SD 1,817,Irrigon Junior/Senior High School,Morrow
2147,Morrow SD 1,820,Riverside Junior/Senior High School,Morrow
2147,Morrow SD 1,814,Sam Boardman Elementary School,Morrow
2147,Morrow SD 1,4047,Windy River Elementary School,Morrow
2185,Centennial SD 28J,3649,Butler Creek Elementary School,Multnomah
2185,Centennial SD 28J,1367,Centenial Park School,Multnomah
2185,Centennial SD 28J,967,Centennial High School,Multnomah
2185,Centennial SD 28J,960,Centennial Middle School,Multnomah
2185,Centennial SD 28J,959,Lynch Meadows Elementary School,Multnomah
2185,Centennial SD 28J,964,Lynch View Elementary School,Multnomah
2185,Centennial SD 28J,965,Lynch Wood Elementary School,Multnomah
2185,Centennial SD 28J,962,Oliver Elementary School,Multnomah
2185,Centennial SD 28J,963,Parklane Elementary School,Multnomah
2185,Centennial SD 28J,966,Pleasant Valley Elementary School,Multnomah
2186,Corbett SD 39,4747,Corbett Charter School,Multnomah
2186,Corbett SD 39,4592,Corbett School,Multnomah
2187,David Douglas SD 40,980,Alice Ott Middle School,Multnomah
2187,David Douglas SD 40,3580,Arthur Academy,Multnomah
2187,David Douglas SD 40,972,Cherry Park Elementary School,Multnomah
2187,David Douglas SD 40,983,David Douglas High School,Multnomah
2187,David Douglas SD 40,3525,Earl Boyles Elementary,Multnomah
2187,David Douglas SD 40,981,Floyd Light Middle School,Multnomah
2187,David Douglas SD 40,973,Gilbert Heights Elementary School,Multnomah
2187,David Douglas SD 40,974,Gilbert Park Elementary School,Multnomah
2187,David Douglas SD 40,975,Lincoln Park Elementary School,Multnomah
2187,David Douglas SD 40,976,Menlo Park Elementary School,Multnomah
2187,David Douglas SD 40,977,Mill Park Elementary School,Multnomah
2187,David Douglas SD 40,4232,Ron Russell Middle School,Multnomah
2187,David Douglas SD 40,978,Ventura Park Elementary School,Multnomah
2187,David Douglas SD 40,979,West Powellhurst Elementary School,Multnomah
2183,Gresham-Barlow SD 10J,3553,Center for Advanced Learning,Multnomah
2183,Gresham-Barlow SD 10J,1312,Clear Creek Middle School,Multnomah
2183,Gresham-Barlow SD 10J,90,Damascus Middle School,Multnomah
2183,Gresham-Barlow SD 10J,91,Deep Creek Elementary School,Multnomah
2183,Gresham-Barlow SD 10J,932,Dexter McCarty Middle School,Multnomah
2183,Gresham-Barlow SD 10J,933,East Gresham Elementary School,Multnomah
2183,Gresham-Barlow SD 10J,941,East Orient Elementary School,Multnomah
